sha256	archive	filename	version	status	parts	vertices	triangles	textures	blockindex	blocktype	error	seconds	warnings
10644d71f3db298cfd177f899d35e17600cd957781b8008c57e12cd5b6de38a9	D:\SERVER_FIESTA\Client	reschar\MiniHouse\KingdomC00.nif	20.0.0.4	ERROR	0	0	0	0	5	NPTR_ISShader_v2	Nicht unterstützter Block-Typ 'NPTR_ISShader_v2' bei Block 5 - nur einfache untexturierte Meshes werden aktuell unterstützt	0.018	
592fe12562d1c398584a05bcc8f64c9e7115714f0d2fea0ae71f2581a328774a	D:\SERVER_FIESTA\Client	resitem\Female\Hat_Antler00.nif	20.0.0.4	ERROR	0	0	0	0	10	NPTR_ISShader_v2	Nicht unterstützter Block-Typ 'NPTR_ISShader_v2' bei Block 10 - nur einfache untexturierte Meshes werden aktuell unterstützt	0.014	
dcb2ab280e0d93ee36a13ffb8ca4b1e3a0095301b8a52c1be18c0b8a66903977	D:\SERVER_FIESTA\Client	resitem\male\Hat_Antler00.nif	20.0.0.4	ERROR	0	0	0	0	10	NPTR_ISShader_v2	Nicht unterstützter Block-Typ 'NPTR_ISShader_v2' bei Block 10 - nur einfache untexturierte Meshes werden aktuell unterstützt	0.012	
18474f1df8b3f1e62fc731ae25d16a75927a071cb3a2eaa7e33c807f2b8b767b	D:\SERVER_FIESTA\Client\reschar\AdlAertsina.zip	EglackMad/EglackMad.nif	20.0.0.4	ERROR	0	0	0	0	130	NiBlendAccumTransformInterpolator	Nicht unterstützter Block-Typ 'NiBlendAccumTransformInterpolator' bei Block 130 - nur einfache untexturierte Meshes werden aktuell unterstützt	0.075	
cf4cb22639be1c52c02c2cc272e5b0c8250110607a0d81d9054a6315c186f903	D:\SERVER_FIESTA\Client	reschar\M_MajesticLion\M_MajesticLion.nif	20.0.0.4	RECOVERY_PARTIAL	8	953	1234	2	279	NiBlendAccumTransformInterpolator		0.295	
f2251aeb7da05215f8d4314f772e18d3cf947ce60222ed7f16e4bfb99c861c84	D:\SERVER_FIESTA\Client\reschar\AdlAertsina.zip	Helga/Helga.nif	20.0.0.4	RECOVERY_PARTIAL	9	2311	3006	2	219	NiBlendAccumTransformInterpolator		0.307	
