sha256	archive	filename	version	status	parts	vertices	triangles	textures	blockindex	blocktype	error	seconds	warnings
5ef8eddc06116b690f394904ec0c3993e3953b198729ca5b2daf31b4cbea359f	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Mage_Skill03_W_H.nif	20.0.0.4	OK_GEOMETRY	7	150	204	8				0.031	
729ba70d76d76cc5072b8f09b719d2b983f5de549bf7be7e349fd50a709a4b64	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Paladin_Attack_g.nif	20.0.0.4	OK_GEOMETRY	3	491	714	3				0.032	
e93496e24d79a1c5f01b3b9a0540b9f99f11440b9cc2b47c047044f2e8ead12b	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Mage_Skill03_W_Hit.nif	20.0.0.4	OK_GEOMETRY	13	296	402	13				0.033	
d15057b0db55491f101e0a0da3854907fc9e6d5a5fcc6754e07feb4ad5087be7	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Paladin_Attack_Hit.nif	20.0.0.4	OK_GEOMETRY	6	24	12	6				0.022	
f9499985d2276ac8a60423dc9100038eb7dc828b1b28dfe4db7acd4c9515d0d8	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Paladin_Skill01_N_H.nif	20.0.0.4	OK_GEOMETRY	10	164	142	10				0.033	
c0e9940781c19b283b454ef732c3befad00c6800ef16bbc7a4f575f4f7ecc7b0	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Paladin_Skill01_N_HIT.nif	20.0.0.4	OK_GEOMETRY	7	122	138	7				0.037	
4035a1ac0a0ae6cdd0c7f8ecd4fe9588ee0519a1d95e73b713f0ffe21301e60c	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Paladin_Skill02_N_HIT.nif	20.0.0.4	OK_GEOMETRY	18	246	352	18				0.035	
1296a1fe1794abeb716a62c3cf1f50eb07b25136db0fe03bdd1c15276743bd5f	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Paladin_Skill02_N_G.nif	20.0.0.4	OK_GEOMETRY	15	1124	1818	15				0.042	
e18697512394d77687d48954fc6f175ce3ed99378e0157fba544a025ba4a4e78	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Paladin_Skill02_N_LH.nif	20.0.0.4	OK_GEOMETRY	3	121	164	3				0.028	
a7fd43c94b58634590dc7072c3febd1d74099ef1e066f3f2ca47f576e7a2791a	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Paladin_Skill02_N_RH.nif	20.0.0.4	OK_GEOMETRY	3	119	217	3				0.031	
cfb0771db97f5797f0e64eb22ff0c516c7e6fe75871c52cf69a4383a426701a1	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Skill01_W_g.nif	20.0.0.4	OK_GEOMETRY	30	531	770	30				0.046	
ad18bb7004a6221b050e8c8a5d1b8140bcc5191522b0f0e0b7a3349fcd9cecd3	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Skill02_W_H.nif	20.0.0.4	OK_GEOMETRY	9	280	394	9				0.029	
4cc563d2c6de9b15dcc638ba4743e1174880164aa45a17d69ed2158ab0848296	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Skill02_W_g.nif	20.0.0.4	OK_GEOMETRY	167	3924	5270	167				0.047	
